incident_type,details,county,month,year
Poisoning,Species targeted: Birds of prey. Species involved: Dog x 1; poison bait (Rabbit x 1). Tested positive for: Aldicarb.,DERBYSHIRE,January,2021
Shooting,Species involved: Buzzard x 1.,DERBYSHIRE,May,2021
Shooting,Species involved: Red kite x 1.,NORTH YORKSHIRE,November,2021
Poisoning,"Species involved: Buzzard x 4, Raven x 11. Tested positive for: Bendiocarb.",GLOUCESTERSHIRE,January,2021
Shooting,Species involved: Peregrine falcon x 1.,WILTSHIRE,July,2021
Shooting,Species involved: Tawny owl x 1.,COUNTY DURHAM,February,2021
Shooting,Species involved: Buzzard x 1.,SOUTH YORKSHIRE,March,2021
Illegal Trapping (Other),Species involved: Buzzard x 1.,SHROPSHIRE,September,2021
PersecutionOther,Species targeted: Birds of Prey. Possession of Carbofuran.,NORTH YORKSHIRE,May,2021
Illegal Trapping (Other),Species involved: Buzzard x 1.,SHROPSHIRE,October,2021
Poisoning,"Species involved: Buzzard x 1. Tested positive for: Alphachloralose, carbofuran, bendiocarb.",NORTH YORKSHIRE,January,2021
Illegal Trapping (Other),Species targeted: Birds of Prey.,ANGUS,March,2021
Shooting,Species involved: Goshawk x 1.,STAFFORDSHIRE,July,2021
Poisoning,Species targeted: Birds of prey. Species involved: poison bait (Pheasant x 1). Tested positive for: Strychnine.,NORFOLK,September,2021
Poisoning,"Species involved: Red kite x 1, poison bait (withheld x 1). Tested positive for: Withheld.",HIGHLAND,May,2021
Poisoning,Species involved: Red kite x 1. Tested positive for: Bendiocarb.,NORTH YORKSHIRE,November,2021
Illegal Trapping (Other),Species involved: Buzzard x 2.,SHROPSHIRE,October,2021
Illegal Trapping (Other),Species involved: Buzzard x 1.,NOTTINGHAMSHIRE,January,2021
PersecutionOther,Species targeted: Birds of Prey.,PERTH AND KINROSS,February,2021
Shooting,Species involved: Red kite x 1.,POWYS,March,2021
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,NORTHUMBERLAND,February,2021
Poisoning,Species involved: Peregrine falcon x 1; fox x 1; poison bait (Pigeon x 1). Tested positive for: Aldicarb.,SHROPSHIRE,May,2021
Illegal Trapping (Other),Species targeted: Birds of Prey.,SOMERSET & AVON,January,2021
Poisoning,"Species targeted: Birds of prey. Species involved: poison bait (Pheasant x 1). Tested positive for: Bendiocarb, carbofuran.",HEREFORDSHIRE,August,2021
Illegal Trapping (Other),Species targeted: Birds of Prey.,WREXHAM,August,2021
Illegal Trapping (Other),Species involved: Sparrowhawk x1; blackbird x 1.,CHESHIRE,February,2021
Illegal Trapping (Other),Species involved: Buzzard x 1.,SHROPSHIRE,October,2021
Shooting,Species involved: Buzzard x 1.,BEDFORDSHIRE,February,2021
PersecutionOther,Species involved: Hen harrier x 1.,NORTH YORKSHIRE,March,2021
Shooting,Species involved: Red kite x 1.,ESSEX,November,2021
Shooting,Species involved: Red kite x 1.,GLOUCESTERSHIRE,March,2021
Illegal Trapping (Other),Species involved: Buzzard x 1.,SHROPSHIRE,October,2021
Shooting,Species involved: Peregrine falcon x 1.,BUCKINGHAMSHIRE,August,2021
Shooting,Species involved: Buzzard x 1.,NORFOLK,August,2021
PersecutionOther,Species targeted: Birds of prey. Possession of: Bendiocarb.,SUFFOLK,January,2021
Shooting,Species involved: Buzzard x 1.,EDINBURGH CITY,December,2021
Nest Destruction,Species involved: Kestrel nest.,SOMERSET & AVON,April,2021
Shooting,Species involved: Buzzard x 1.,SOUTH YORKSHIRE,March,2021
Shooting,Species involved: Peregrine falcon x 1.,NORTH YORKSHIRE,May,2021
Shooting,Species involved: Buzzard x 1.,NORFOLK,August,2021
Shooting,Species involved: Buzzard x 1.,NORFOLK,September,2021
Poisoning,"Species involved: Red kite x 1. Tested positive for: Bendiocarb, carbofuran, isofenphos, alphachloralose, brodifacoum.",NORTH YORKSHIRE,January,2021
Shooting,Species involved: Buzzard x 1.,NORFOLK,August,2021
Poisoning,"Species involved: Peregrine falcon x 1. Tested positive for: Carbofuran, aldicarb.",BELFAST COUNTY BOROUGH,March,2021
Poisoning,Species involved: Peregrine falcon x 1. Buzzard x 1. Poison bait (pigeon) x 1. Tested positive for: Bendiocarb.,STAFFORDSHIRE,May,2020
Shooting,Species targeted: Birds of prey.,MERSEYSIDE,April,2020
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,April,2020
Shooting,Species involved: Buzzard x 1.,NORFOLK,April,2020
Shooting,Species involved: Peregrine falcon x 1.,WEST YORKSHIRE,August,2020
PersecutionOther,Species involved: Buzzard x 1.,WILTSHIRE,August,2020
PersecutionOther,Species involved: Red kite x 1.,WILTSHIRE,August,2020
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (lamb x 1). Tested positive for: Lindane,DEVON,April,2020
Illegal Pole/Spring Trapping,Species involved: Red kite x 1.,BERKSHIRE,August,2020
Shooting,Species targeted: Buzzard x 1.,NORTH YORKSHIRE,April,2020
Poisoning,Species involved: Peregrine x 1. Tested positive for: Bendiocarb.,SURREY,July,2020
PersecutionOther,Species involved: Buzzard x 1.,WILTSHIRE,August,2020
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (rabbit x 1). Tested positive for: Bendiocarb.,NORTH YORKSHIRE,June,2020
Shooting,Species involved: Peregrine falcon x 1.,DOWN,September,2020
Illegal Trapping (Other),Species involved: Sparrowhawk x 1.,LEICESTERSHIRE,November,2020
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,NORTH YORKSHIRE,February,2020
Poisoning,"Species involved: Peregrine falcon x 1. Tested positive for: Bendiocarb, carbofuran.",DERBYSHIRE,May,2020
Illegal Trapping (Other),Species involved: Goshawk x 1.,NORTH YORKSHIRE,May,2020
Shooting,Species involved: Golden eagle x 1.,POWYS,July,2020
PersecutionOther,Species involved: Red kite x 1.,WILTSHIRE,September,2020
Poisoning,Species involved: Buzzard x 1; Rook x 10. Tested positive for: Withheld.,DUMFRIES AND GALLOWAY,January,2020
Poisoning,Species targeted: Birds of prey. Bread (poison bait) x 5. Tested positive for: Withheld.,DUMFRIES AND GALLOWAY,February,2020
PersecutionOther,Species involved: Buzzard x 1.,WILTSHIRE,August,2020
Poisoning,"Species involved: Peregrine falcon x 2. Tested positive for: Bendiocarb, alphachloralose, carbofuran.",NORTH YORKSHIRE,April,2020
Poisoning,Species involved: Red kite x 1. Tested positive for: Alphachloralose.,BEDFORDSHIRE,January,2020
Illegal Pole/Spring Trapping,Species involved: Buzzard x 1,NORFOLK,January,2020
Illegal Trapping (Other),Species involved: Owl species x 1.,PERTH AND KINROSS,October,2020
Shooting,Species involved: Sparrowhawk x 1.,SUFFOLK,January,2020
Illegal Trapping (Other),Species targeted: Birds of prey.,NORFOLK,May,2020
Shooting,Species involved: Buzzard x 1.,EAST RIDING OF YORKSHIRE,December,2020
Shooting,Species involved: Buzzard x 1.,KENT,September,2020
Poisoning,"Species targeted: Birds of prey. Species involved: Carrion crow x 1. Tested positive for: Bendiocarb, carbofuran.",HAMPSHIRE,July,2020
Shooting,Species involved: Red kite x 1.,NORFOLK,March,2020
Shooting,Species involved: Buzzard x 1.,WORCESTERSHIRE,January,2020
Illegal Trapping (Other),Species involved: Merlin x 1.,HIGHLAND,July,2020
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,NORTH YORKSHIRE,March,2020
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,March,2020
Poisoning,Species involved: Buzzard x 1. Poison bait (pigeon) x 1. Tested positive for: Bendiocarb.,SUFFOLK,September,2020
Shooting,Species involved: Buzzard x 1.,ARMAGH,September,2020
Shooting,Species involved: Buzzard x 1.,GREATER MANCHESTER,February,2020
PersecutionOther,Species involved: Buzzard x 1.,WILTSHIRE,August,2020
Nest Destruction,Species involved: Hen harrier nest.,SCOTTISH BORDERS,April,2020
Illegal Trapping (Other),Species involved: Buzzard x 1.,NOTTINGHAMSHIRE,December,2020
Poisoning,"Species targeted: Birds of prey. Species involved: Dog x 1. Tested positive for: Bendiocarb, carbofuran, isofenphos, alphachloralose.",NORTH YORKSHIRE,April,2020
Shooting,Species involved: Peregrine falcon x 1.,SHROPSHIRE,March,2020
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,April,2020
Shooting,Species involved: Red kite x 1.,HERTFORDSHIRE,December,2020
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,December,2020
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,April,2020
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,December,2020
Poisoning,Species involved: Red kite x 1. Tested positive for: Bendiocarb.,DORSET,November,2020
Shooting,Species involved: Buzzard x 1.,DERBYSHIRE,January,2020
Shooting,Species involved: Peregrine falcon x 1.,WEST YORKSHIRE,May,2020
Illegal Trapping (Other),Species targeted: Goshawk.,NORTH YORKSHIRE,April,2020
PersecutionOther,Species involved: Red kite x 1.,WILTSHIRE,August,2020
Poisoning,"Species involved: Buzzard x 1. Pheasant (poison bait) x 2. Tested positive for: Carbofuran, isofenphos.",DEVON,October,2020
Illegal Trapping (Other),Species involved: Barn owl x 1.,SCOTTISH BORDERS,September,2020
PersecutionOther,Species targeted: Birds of prey.,NORTH YORKSHIRE,September,2020
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,January,2020
Poisoning,Species involved: White-tailed eagle x 1. Tested positive for: Withheld.,ABERDEENSHIRE,April,2020
Poisoning,Species involved: Buzzard x 1. Tested positive for: Aldicarb.,LINCOLNSHIRE,March,2020
Shooting,Species involved: Buzzard x 1.,MERSEYSIDE,April,2020
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,DERBYSHIRE,September,2020
Poisoning,Species involved: Red kite x 1. Tested positive for: Bendiocarb.,LINCOLNSHIRE,April,2020
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (duck x 1). Tested positive for: Withheld.,DUMFRIES AND GALLOWAY,February,2020
Shooting,Species involved: Sparrowhawk x 1.,DEVON,February,2020
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,April,2020
Poisoning,Species involved: Buzzard x 1. Tested positive for Withheld.,DUMFRIES AND GALLOWAY,February,2020
Shooting,Species involved: Buzzard x 1.,NORTHUMBERLAND,January,2020
Illegal Pole/Spring Trapping,Species targeted: Birds of prey. Species involved: Carrion crow x 1.,MIDLOTHIAN,April,2020
Shooting,Species involved: Red kite x 1.,WEST YORKSHIRE,April,2020
Shooting,Species involved: Peregrine falcon x 1.,KENT,July,2020
Poisoning,Species involved: Buzzard x 2. Tested positive for: Carbofuran.,COUNTY DURHAM,September,2020
Shooting,Species involved: Short-eared owl x 1.,SOUTH LANARKSHIRE,July,2020
PersecutionOther,Species involved: Buzzard x 1.,WILTSHIRE,August,2020
PersecutionOther,Species involved: Buzzard x 1.,WILTSHIRE,August,2020
Poisoning,Species involved: Peregrine falcon x 1. Tested positive for: Bendiocarb.,STAFFORDSHIRE,May,2020
Poisoning,"Species targeted: Birds of prey. Species involved: Poison bait (pigeon x 1). Tested positive for: Bendiocarb, alphachloralose.",ARMAGH,November,2020
Poisoning,Species involved: Red kite x1. Tested positive for: Bendiocarb.,WEST SUSSEX,December,2020
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,DUMFRIES AND GALLOWAY,February,2020
Shooting,Species involved: Sparrowhawk x 1.,SOUTH YORKSHIRE,October,2020
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,ANTRIM,January,2020
PersecutionOther,Species involved: Buzzard x 1.,WILTSHIRE,August,2020
Shooting,Species involved: Buzzard x 1.,DORSET,August,2020
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,TYRONE,April,2020
Poisoning,Species involved: Red kite x 3. Tested positive for: Diazinon.,POWYS,March,2020
PersecutionOther,Species involved: Buzzard x 1.,WILTSHIRE,August,2020
PersecutionOther,Species targeted: Birds of prey. Possession of: Withheld.,DUMFRIES AND GALLOWAY,February,2020
Shooting,Species involved: Red kite x 1.,WILTSHIRE,October,2020
Shooting,Species involved: Kestrel x 1.,WEST YORKSHIRE,January,2020
Shooting,Species involved: Hen harrier x 1.,SOUTH LANARKSHIRE,May,2020
Shooting,Species involved: Peregrine falcon x 1.,GLOUCESTERSHIRE,August,2020
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,April,2020
Shooting,Species involved: Buzzard x 1.,DERBYSHIRE,September,2020
Poisoning,"Species involved: Peregrine falcon x 1. Tested positive for: Bendiocarb, carbofuran.",SOUTH YORKSHIRE,July,2020
Shooting,Species involved: Peregrine falcon x 1.,DERBYSHIRE,March,2020
Shooting,Species involved: Buzzard x 1.,HIGHLAND,August,2020
Shooting,Species involved: Buzzard x 1.,GREATER MANCHESTER,May,2020
Shooting,Species involved: Red kite x 1.,NORFOLK,November,2020
Shooting,Species involved: Peregrine falcon x 1.,RENFREWSHIRE,August,2020
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (lamb x 1). Tested positive for: Nitroxynil.,TYRONE,May,2020
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,July,2020
PersecutionOther,Species targeted: Golden eagle.,ARGYLL AND BUTE,June,2020
Nest Destruction,Species involved: Tawny owl nest.,NORTH YORKSHIRE,May,2020
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran,HIGHLAND,October,2020
Shooting,Species involved: Buzzard x 1.,DORSET,September,2020
PersecutionOther,Species involved: Buzzard x 1.,NORTH YORKSHIRE,April,2020
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,April,2020
PersecutionOther,Species involved: Buzzard x 1.,WILTSHIRE,August,2020
PersecutionOther,Species involved: Sparrowhawk x 1.,WEST YORKSHIRE,August,2020
Poisoning,"Species targeted: Birds of prey. Species involved: Raven x 1. Tested positive for: Carbofuran, isofenphos.",POWYS,September,2020
Shooting,Species involved: Red kite x 1.,POWYS,April,2020
Shooting,Species involved: Buzzard x 1.,HIGHLAND,August,2020
Poisoning,Species involved: Buzzard x 1. Kestrel x 1. Tested positive for: Aldicarb.,DERBYSHIRE,March,2020
Shooting,Species involved: Buzzard x 1.,KENT,October,2020
Illegal Pole/Spring Trapping,Species involved: Little owl x 1.,NORFOLK,May,2020
Shooting,Species involved: Goshawk x 1,NORTH YORKSHIRE,February,2020
PersecutionOther,Species targeted: Hen harrier.,CUMBRIA,April,2020
Illegal Trapping (Other),Species involved: Red kite x 1.,PERTH AND KINROSS,October,2020
Shooting,Species involved: Short-eared owl x 1.,DERBYSHIRE,May,2020
Poisoning,Species targeted: Birds of prey. Species involved: Raven x 1. Tested positive for: Bendiocarb.,BUCKINGHAMSHIRE,April,2020
Illegal Trapping (Other),Species involved: Long-eared owl x 1.,PERTH AND KINROSS,October,2020
Poisoning,"Species involved: Buzzard x 1. Tested positive for: Alphachloralose, bendiocarb, carbofuran, isofenphos.",NORTH YORKSHIRE,March,2020
Shooting,Species involved: Buzzard x 1.,DORSET,September,2020
Nest Destruction,Species involved: Kestrel nest.,HAMPSHIRE,May,2020
Illegal Trapping (Other),Species involved: Goshawk x 1.,SCOTTISH BORDERS,September,2020
Poisoning,Species involved: Goshawk x 1. Tested positive for: Isofenphos.,POWYS,July,2020
Shooting,Species involved: Buzzard x 1.,HIGHLAND,March,2020
Shooting,Species involved: Peregrine falcon x 1.,PERTH AND KINROSS,November,2020
PersecutionOther,Species targeted: Birds of prey. Possession of: Bendiocarb.,WILTSHIRE,September,2020
Illegal Trapping (Other),Species involved: Sparrowhawk x 1.,ABERDEENSHIRE,August,2020
Shooting,Species involved: Hobby x 1.,ESSEX,August,2020
PersecutionOther,Species involved: Red kite x 1.,WILTSHIRE,September,2020
PersecutionOther,Species involved: Buzzard x 1.,WILTSHIRE,August,2020
PersecutionOther,Species involved: Buzzard x 1.,WILTSHIRE,August,2020
PersecutionOther,Species targeted: Birds of prey.,NORTH YORKSHIRE,July,2020
Shooting,Species involved: Kestrel x 1.,GLOUCESTERSHIRE,January,2020
PersecutionOther,Species targeted: Peregrine falcon.,ARMAGH,May,2020
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,April,2020
Poisoning,Species involved: Peregrine falcon x 1. Poison bait (pigeon) x 1. Tested positive for: Bendiocarb.,STAFFORDSHIRE,June,2020
Poisoning,Species involved: Red kite x 1. Tested positive for: Bendiocarb,NORFOLK,January,2020
Poisoning,"Species involved: Red kite x 1. Tested positive for: Bendiocarb, carbofuran, isofenphos.",NORTH YORKSHIRE,November,2020
PersecutionOther,Species targeted: Birds of Prey. Possession of: Carbofuran.,SOUTH LANARKSHIRE,July,2020
PersecutionOther,Species targeted: Birds of prey. Possession of: Carbosulfan.,SOUTH LANARKSHIRE,May,2019
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,May,2019
Illegal Trapping (Other),Species involved: Tawny owl x 1.,NORTH YORKSHIRE,May,2019
Shooting,Species involved: Buzzard x 1.,WEST MIDLANDS,January,2019
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,SUFFOLK,January,2019
Shooting,Species involved: Kestrel x 1.,NORTH YORKSHIRE,December,2019
Shooting,Species involved: Sparrowhawk x 1.,DORSET,September,2019
Illegal Trapping (Other),Species involved: Sparrowhawk x 1.,ANGUS,April,2019
Illegal Trapping (Other),Species involved: Buzzard x 1.,SOUTH LANARKSHIRE,January,2019
Shooting,Species involved: Hen Harrier x 1.,DUMFRIES AND GALLOWAY,June,2019
Poisoning,Species involved: Red kite x 1; poison bait (rabbit) x 1. Tested positive for: Aldicarb.,EAST RIDING OF YORKSHIRE,September,2019
Shooting,Species involved: Buzzard x 1.,EAST RIDING OF YORKSHIRE,August,2019
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,March,2019
Shooting,Species involved: Goshawk x 1.,SCOTTISH BORDERS,January,2019
Shooting,Species involved: Red kite x 1.,WORCESTERSHIRE,May,2019
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,October,2019
Poisoning,Species involved: Red kite x 1. Tested positive for: Withheld banned pesticide.,DUMFRIES AND GALLOWAY,May,2019
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (rabbit) x 1. Tested positive for: Oxamyl.,DENBIGHSHIRE,September,2019
PersecutionOther,Species involved: Peregrine falcon x 1.,STAFFORDSHIRE,December,2019
Illegal Trapping (Other),Species involved: Buzzard x 1.,NORTHUMBERLAND,April,2019
PersecutionOther,Species targeted: Birds of prey.,NORTH YORKSHIRE,May,2019
Poisoning,Species involved: Red kite x 1. Tested positive for: Bendiocarb.,CAMBRIDGESHIRE,January,2019
Shooting,Species involved: Sparrowhawk x 1.,WORCESTERSHIRE,August,2019
Shooting,Species targeted: Birds of prey.,SOUTH YORKSHIRE,December,2019
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (raven) x 1. Tested positive for: Diazinon.,POWYS,December,2019
Poisoning,Species involved: Red kite x 1. Tested positive for: Diazinon.,CONWY,November,2019
Poisoning,Species involved: Red kite x1. Tested positive for: Withheld.,DUMFRIES AND GALLOWAY,December,2019
Shooting,Species involved: Red kite x 1.,HEREFORDSHIRE,December,2019
Poisoning,Species involved: Red kite x 1. Tested positive for: Withheld banned pesticide.,DUMFRIES AND GALLOWAY,May,2019
Shooting,Species involved: Red kite x 1.,BUCKINGHAMSHIRE,May,2019
Shooting,Species involved: Goshawk x 1.,ABERDEENSHIRE,Unknown,2019
Shooting,Species involved: Buzzard x 1.,NORTHAMPTONSHIRE,March,2019
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,DOWN,April,2019
Shooting,Species involved: Barn owl x 1.,STAFFORDSHIRE,October,2019
Shooting,Species involved: Goshawk x 1.,SCOTTISH BORDERS,March,2019
Poisoning,"Species involved: Red kite x 5; buzzard x 2; carrion crow x 2; poison bait (pheasant) x 1. Tested positive for: Bendiocarb, carbofuran.",NORTHAMPTONSHIRE,September,2019
Shooting,Species involved: Buzzard x 1.,TYRONE,November,2019
Poisoning,"Species involved: Peregrine falcon x 2. Tested positive for: Aldicarb, carbofuran.",ANTRIM,June,2019
Poisoning,Species involved: Red kite x 1. Tested positive for: Bendiocarb.,GLOUCESTERSHIRE,May,2019
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,SOUTH LANARKSHIRE,July,2019
Poisoning,Species involved: Red kite x 1. Tested positive for: Withheld banned pesticide.,DUMFRIES AND GALLOWAY,May,2019
Illegal Pole/Spring Trapping,Species involved: Hen Harrier x 1.,SOUTH LANARKSHIRE,May,2019
PersecutionOther,Species involved: Sparrowhawk x 1.,HAMPSHIRE,December,2019
Poisoning,"Species involved: Red kite x 1. Tested positive for: Bendiocarb, isofenphos.",NORTH YORKSHIRE,March,2019
Shooting,Species involved: Buzzard x 1.,SUFFOLK,February,2019
Shooting,Species involved: Peregrine falcon x 1.,CAMBRIDGESHIRE,October,2019
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,CHESHIRE,April,2019
Shooting,Species involved: Barn owl x 1.,SUFFOLK,August,2019
Poisoning,Species involved: Red kite x1. Tested positive for: Withheld.,DUMFRIES AND GALLOWAY,December,2019
Shooting,Species involved: Buzzard x 1.,CAMBRIDGESHIRE,February,2019
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,January,2019
Poisoning,Species targeted: Birds of prey. Species involved: Fox x 1; poison bait (fowl) x 2. Tested positive for: Metaldehyde.,ISLE OF ANGLESEY,February,2019
Shooting,Species involved: Buzzard x 1.,NORTHUMBERLAND,April,2019
Shooting,Species involved: Merlin x 1.,BUCKINGHAMSHIRE,August,2019
Poisoning,Species involved: Red kite x 1. Tested positive for: Withheld banned pesticide.,DUMFRIES AND GALLOWAY,May,2019
Shooting,Species involved: Peregrine falcon x 1.,GREATER MANCHESTER,May,2019
Illegal Pole/Spring Trapping,Species involved: Goshawk x 1.,MORAY,January,2019
Shooting,Species involved: Marsh harrier x 1.,NORTH YORKSHIRE,August,2019
Shooting,Species involved: Sparrowhawk x 1.,NORTH YORKSHIRE,February,2019
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,February,2019
Poisoning,Species involved: Red kite x 1; raven x 3; fox x 1. Tested positive for: Bendiocarb.,WILTSHIRE,January,2019
Poisoning,"Species involved: Red kite x 1. Tested positive for: Bendiocarb, carbofuran, difenacoum.",LINCOLNSHIRE,April,2019
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,NORTH YORKSHIRE,January,2019
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,March,2019
Poisoning,Species involved: Red kite x 1; poison bait (withheld) x 1. Tested positive for: Withheld banned pesticide.,DUMFRIES AND GALLOWAY,June,2019
Shooting,Species involved: Buzzard x 1.,NORTHUMBERLAND,May,2019
Shooting,Species involved: Peregrine falcon x 1.,WEST MIDLANDS,May,2019
Illegal Pole/Spring Trapping,Species involved: Golden Eagle x 1.,ABERDEENSHIRE,August,2019
Poisoning,Species targeted: Birds of prey. Species involved: Raven x 1; poison bait (lamb) x 1. Tested positive for: Diazinon.,WREXHAM,April,2019
Poisoning,Species involved: Red kite x1. Tested positive for: Withheld.,DUMFRIES AND GALLOWAY,December,2019
Poisoning,"Species involved: Red kite x 1. Tested positive for: Carbofuran, carbosulfan.",DENBIGHSHIRE,September,2019
Shooting,Species involved: Barn owl x 1.,NORTH YORKSHIRE,December,2019
